source_id,source_type,food_id,standard_content
1,Nutrient,394,1142.5
1,Nutrient,394,13050.0
1,Nutrient,399,2948.0
1,Nutrient,399,7000.0
1,Nutrient,401,1750.0
1,Nutrient,401,2500.0
1,Nutrient,401,1250.0
1,Nutrient,407,2533.35
1,Nutrient,407,389.5
1,Nutrient,407,1450.0
1,Nutrient,408,10301.5
1,Nutrient,409,2323.75
1,Nutrient,410,3463.75
1,Nutrient,411,3000.0
1,Nutrient,416,2900.0
1,Nutrient,416,1900.0
1,Nutrient,416,1900.0
1,Nutrient,416,1526.0
1,Nutrient,417,319.5
1,Nutrient,420,29781.75
1,Nutrient,422,1766.75
1,Nutrient,427,
1,Nutrient,427,
1,Nutrient,436,866.0
1,Nutrient,436,12500.0
1,Nutrient,437,761.5
1,Nutrient,437,2600.0
1,Nutrient,441,62851.75
1,Nutrient,442,3063.75
1,Nutrient,442,500.0
1,Nutrient,444,
1,Nutrient,444,
1,Nutrient,444,
1,Nutrient,444,
1,Nutrient,444,
1,Nutrient,444,
1,Nutrient,444,
1,Nutrient,445,2600.0
1,Nutrient,447,47500.0
1,Nutrient,448,3680.0
1,Nutrient,455,1067.5
1,Nutrient,457,5550.0
1,Nutrient,457,1800.0
1,Nutrient,457,19550.0
1,Nutrient,467,2057.5
1,Nutrient,468,2550.0
1,Nutrient,488,1300.0
1,Nutrient,488,22100.0
1,Nutrient,490,
1,Nutrient,493,1800.0
1,Nutrient,496,1150.0
1,Nutrient,496,31500.0
1,Nutrient,499,5650.0
1,Nutrient,499,850.0
1,Nutrient,502,4650.0
1,Nutrient,503,2100.0
1,Nutrient,503,850.0
1,Nutrient,503,32500.0
1,Nutrient,510,2614.0
1,Nutrient,518,2926.0
1,Nutrient,518,9272.5
1,Nutrient,518,1506.35
1,Nutrient,519,600.0
1,Nutrient,520,20000.0
1,Nutrient,520,1021.75
1,Nutrient,521,5985.0
1,Nutrient,521,500.0
1,Nutrient,534,
1,Nutrient,534,
1,Nutrient,536,74450.0
1,Nutrient,553,1846.1
1,Nutrient,553,1370.3
1,Nutrient,558,725.0
1,Nutrient,800,
1,Nutrient,802,64000.0
1,Nutrient,813,4429.0
1,Nutrient,880,700.0
1,Nutrient,880,950.0
1,Nutrient,880,2100.0
1,Nutrient,880,
1,Nutrient,880,800.0
1,Nutrient,881,1732.45
1,Nutrient,881,
2,Nutrient,2,2000.0
2,Nutrient,2,300.0
2,Nutrient,4,1000.0
2,Nutrient,4,200.0
2,Nutrient,4,1140.0
2,Nutrient,4,1230.0
2,Nutrient,4,3536.5
2,Nutrient,5,1600.0
2,Nutrient,5,300.0
2,Nutrient,5,6000.0
2,Nutrient,5,1000.0
2,Nutrient,5,800.0
2,Nutrient,5,100.0
2,Nutrient,5,1800.0
2,Nutrient,5,300.0
2,Nutrient,5,10410.0
2,Nutrient,5,1100.0
2,Nutrient,5,1360.0
2,Nutrient,5,8950.0
2,Nutrient,5,850.0
2,Nutrient,5,950.0
2,Nutrient,5,790.0
2,Nutrient,5,770.0
2,Nutrient,5,890.0
2,Nutrient,5,710.0
2,Nutrient,5,1830.0
2,Nutrient,5,970.0
2,Nutrient,5,800.0
2,Nutrient,5,3150.0
2,Nutrient,5,5340.0
2,Nutrient,5,1360.0
2,Nutrient,5,770.0
2,Nutrient,5,710.0
2,Nutrient,5,4460.0
2,Nutrient,6,8647.0
2,Nutrient,6,12450.0
2,Nutrient,7,1900.0
2,Nutrient,7,300.0
2,Nutrient,8,16800.0
2,Nutrient,8,2700.0
2,Nutrient,8,6400.0
2,Nutrient,8,1000.0
2,Nutrient,8,16550.0
2,Nutrient,8,6360.0
2,Nutrient,9,2400.0
2,Nutrient,9,400.0
2,Nutrient,9,3270.0
2,Nutrient,9,21200.0
2,Nutrient,9,18400.0
2,Nutrient,11,15300.0
2,Nutrient,11,2900.0
2,Nutrient,11,16800.0
2,Nutrient,11,3200.0
2,Nutrient,11,15310.0
2,Nutrient,11,16840.0
2,Nutrient,11,18220.0
2,Nutrient,11,17560.0
2,Nutrient,11,15310.0
2,Nutrient,11,16840.0
2,Nutrient,11,17560.0
2,Nutrient,11,3550.0
2,Nutrient,11,11250.0
2,Nutrient,11,17000.0
2,Nutrient,12,400.0
2,Nutrient,12,100.0
2,Nutrient,12,400.0
2,Nutrient,12,100.0
2,Nutrient,12,500.0
2,Nutrient,12,100.0
2,Nutrient,12,540.0
2,Nutrient,12,430.0
2,Nutrient,12,420.0
2,Nutrient,12,360.0
2,Nutrient,12,350.0
2,Nutrient,12,340.0
2,Nutrient,12,400.0
2,Nutrient,12,360.0
2,Nutrient,12,1300.0
2,Nutrient,12,400.0
2,Nutrient,12,510.0
2,Nutrient,12,360.0
2,Nutrient,12,550.0
2,Nutrient,12,530.0
2,Nutrient,12,2950.0
2,Nutrient,13,20000.0
2,Nutrient,13,3200.0
2,Nutrient,13,3500.0
2,Nutrient,13,600.0
2,Nutrient,13,15980.0
2,Nutrient,13,19960.0
2,Nutrient,13,3460.0
2,Nutrient,13,20780.0
2,Nutrient,13,18684.0
2,Nutrient,14,1700.0
2,Nutrient,14,5035.0
2,Nutrient,15,700.0
2,Nutrient,15,100.0
2,Nutrient,15,18070.0
2,Nutrient,15,1500.0
2,Nutrient,15,960.0
2,Nutrient,15,690.0
2,Nutrient,15,830.0
2,Nutrient,15,960.0
2,Nutrient,15,830.0
2,Nutrient,15,11300.0
2,Nutrient,15,
2,Nutrient,15,
2,Nutrient,15,10001.5
2,Nutrient,15,18681.75
2,Nutrient,16,25800.0
2,Nutrient,16,4800.0
2,Nutrient,16,24600.0
2,Nutrient,16,4500.0
2,Nutrient,16,22600.0
2,Nutrient,16,4200.0
2,Nutrient,16,0.0
2,Nutrient,16,0.0
2,Nutrient,16,0.0
2,Nutrient,16,25800.0
2,Nutrient,16,13500.0
2,Nutrient,16,28030.0
2,Nutrient,16,23680.0
2,Nutrient,16,26150.0
2,Nutrient,16,28010.0
2,Nutrient,16,25090.0
2,Nutrient,16,27040.0
2,Nutrient,16,25190.0
2,Nutrient,16,25870.0
2,Nutrient,16,24060.0
2,Nutrient,16,25090.0
2,Nutrient,16,52200.0
2,Nutrient,16,33800.0
2,Nutrient,16,24800.0
2,Nutrient,16,25900.0
2,Nutrient,16,25720.0
2,Nutrient,16,26060.0
2,Nutrient,16,21930.0
2,Nutrient,16,26350.0
2,Nutrient,16,23680.0
2,Nutrient,16,28010.0
2,Nutrient,16,27040.0
2,Nutrient,16,25870.0
2,Nutrient,16,24060.0
2,Nutrient,16,25090.0
2,Nutrient,16,24470.0
2,Nutrient,16,28040.0
2,Nutrient,16,24000.0
2,Nutrient,16,12450.0
2,Nutrient,16,21300.0
2,Nutrient,16,21250.0
2,Nutrient,17,1530.0
2,Nutrient,17,2090.0
2,Nutrient,17,2090.0
2,Nutrient,17,8607.5
2,Nutrient,17,6750.0
2,Nutrient,18,7700.0
2,Nutrient,18,1200.0
2,Nutrient,18,1180.0
2,Nutrient,18,
2,Nutrient,18,8150.0
2,Nutrient,19,22770.0
2,Nutrient,19,23750.45
2,Nutrient,19,31500.0
2,Nutrient,19,23750.0
2,Nutrient,20,23072.5
2,Nutrient,20,11400.0
2,Nutrient,21,1900.0
2,Nutrient,21,300.0
2,Nutrient,21,1600.0
2,Nutrient,21,300.0
2,Nutrient,21,1800.0
2,Nutrient,21,300.0
2,Nutrient,21,2400.0
2,Nutrient,21,400.0
2,Nutrient,21,2200.0
2,Nutrient,21,2400.0
2,Nutrient,21,1800.0
2,Nutrient,21,2140.0
2,Nutrient,21,3230.0
2,Nutrient,21,2950.0
2,Nutrient,21,2400.0
2,Nutrient,21,1800.0
2,Nutrient,21,2950.0
2,Nutrient,21,
2,Nutrient,21,20842.0
2,Nutrient,22,13900.0
2,Nutrient,22,2200.0
2,Nutrient,22,13200.0
2,Nutrient,22,2300.0
2,Nutrient,22,13000.0
2,Nutrient,22,2200.0
2,Nutrient,22,13300.0
2,Nutrient,22,2300.0
2,Nutrient,22,0.0
2,Nutrient,22,17300.0
2,Nutrient,22,3210.0
2,Nutrient,22,16890.0
2,Nutrient,22,14660.0
2,Nutrient,22,21900.0
2,Nutrient,22,15300.0
2,Nutrient,23,1000.0
2,Nutrient,23,200.0
2,Nutrient,23,1040.0
2,Nutrient,23,3800.0
2,Nutrient,24,15000.0
2,Nutrient,24,2800.0
2,Nutrient,24,14320.0
2,Nutrient,24,14596.0
2,Nutrient,25,1610.0
2,Nutrient,25,1680.0
2,Nutrient,25,730.0
2,Nutrient,25,910.0
2,Nutrient,25,2200.0
2,Nutrient,25,2570.0
2,Nutrient,25,840.0
2,Nutrient,25,800.0
2,Nutrient,25,1680.0
2,Nutrient,25,800.0
2,Nutrient,25,2570.0
2,Nutrient,26,1800.0
2,Nutrient,26,2090.0
2,Nutrient,26,2090.0
2,Nutrient,26,13770.0
2,Nutrient,26,20900.0
2,Nutrient,27,2700.0
2,Nutrient,27,2260.0
2,Nutrient,27,2490.0
2,Nutrient,27,2270.0
2,Nutrient,27,2260.0
2,Nutrient,27,2270.0
2,Nutrient,27,1100.0
2,Nutrient,27,16795.0
2,Nutrient,28,1000.0
2,Nutrient,28,200.0
2,Nutrient,28,1200.0
2,Nutrient,28,1290.0
2,Nutrient,28,1290.0
2,Nutrient,29,0.0
2,Nutrient,29,0.0
2,Nutrient,29,0.0
2,Nutrient,29,0.0
2,Nutrient,30,1000.0
2,Nutrient,30,200.0
2,Nutrient,30,500.0
2,Nutrient,30,100.0
2,Nutrient,30,1500.0
2,Nutrient,30,200.0
2,Nutrient,30,2100.0
2,Nutrient,30,300.0
2,Nutrient,30,1200.0
2,Nutrient,30,200.0
2,Nutrient,30,1280.0
2,Nutrient,30,1270.0
2,Nutrient,30,1430.0
